tweet_id,favorite_count,retweet_count,source,retweeted_status,url
879492040517615616,22452,2976,Twitter for iPhone,Original tweet,https://t.co/IxM9IMKQq8
879415818425184262,101264,41486,Twitter for iPhone,Original tweet,https://t.co/UDT7ZkcTgY
879376492567855104,16089,2923,Twitter for iPhone,Original tweet,https://t.co/RqUrIisQta
879130579576475649,0,6358,Twitter for iPhone,This is a retweet,This is a retweet
879050749262655488,21562,4365,Twitter for iPhone,Original tweet,https://t.co/ffTAMZt2n7
879008229531029506,18162,2508,Twitter for iPhone,Original tweet,https://t.co/YDtpCjIPKN
878776093423087618,18549,3829,Twitter for iPhone,Original tweet,https://t.co/0Uxl9Gq7hN
878604707211726852,28879,6678,Twitter for iPhone,Original tweet,https://t.co/9uABQXgjwa
878404777348136964,0,1203,Twitter for iPhone,This is a retweet,This is a retweet
878316110768087041,0,6237,Twitter for iPhone,This is a retweet,This is a retweet
878281511006478336,7390,1203,Twitter for iPhone,Original tweet,https://t.co/5HuiInQveF
878057613040115712,40265,6358,Twitter for iPhone,Original tweet,https://t.co/cwtWnHMVpe
877736472329191424,76150,17789,Twitter for iPhone,Original tweet,https://t.co/lsPyyAiF1r
877611172832227328,0,74,Twitter for iPhone,This is a retweet,This is a retweet
877556246731214848,21745,3564,Twitter for iPhone,Original tweet,https://t.co/rc53DmRHwK
877316821321428993,26243,4849,Twitter for iPhone,Original tweet,https://t.co/tVXlmh3uX3
877201837425926144,25954,5227,Twitter for iPhone,Original tweet,https://t.co/kVwm88J6Yr
876838120628539392,19826,3120,Twitter for iPhone,Original tweet,https://t.co/zuDk9mBEMO
876537666061221889,22589,4376,Twitter for iPhone,Original tweet,https://t.co/ghfhFSYrMm
876484053909872640,17988,2227,Twitter for iPhone,Original tweet,https://t.co/ccBFQU5UWO
876120275196170240,26774,4370,Twitter for iPhone,Original tweet,https://t.co/9NqZV4WwyX
875747767867523072,24132,3994,Twitter for iPhone,Original tweet,https://t.co/XRwtpQiJ15
875144289856114688,21020,4610,Twitter for iPhone,Original tweet,https://t.co/wK0pt8Cnck
875097192612077568,26314,5694,Twitter for iPhone,Original tweet,https://t.co/PFp4MghzBW
875021211251597312,24424,4431,Twitter for iPhone,Original tweet,https://t.co/brCQoqc8AW
874680097055178752,26686,4348,Twitter for iPhone,Original tweet,https://t.co/lZhtizkURD
874434818259525634,0,13696,Twitter for iPhone,This is a retweet,This is a retweet
874296783580663808,24976,3864,Twitter for iPhone,Original tweet,https://t.co/0YplNnSMEm
874057562936811520,21786,3723,Twitter for iPhone,Original tweet,https://t.co/0MXV9ZDhS5
874012996292530176,33050,9681,Twitter for iPhone,Original tweet,https://t.co/jonYjPNmYx
